index,image_path_rel,yolo_class,cls_name,cam_lon,cam_lat,sign_lon,sign_lat,center_x_px,center_y_px,width_px,height_px,area_px2
0,abcnew\20241008_023216_DR9E90247_1490_original.jpg,cirinsturct,우측통과,126.54703,36.60264,126.54683192349691,36.60265874995602,775,412,24,29,696
1,abcnew\20241008_023216_DR9E90247_1493_original.jpg,cirinsturct,우측통과,126.54703,36.60264,126.54684547739215,36.60261794011973,765,408,24,31,744
2,abcnew\20241008_023216_DR9E90247_1497_original.jpg,cirinsturct,우측통과,126.54703,36.60264,126.54687010429838,36.60258245628959,747,403,29,33,957
3,abcnew\20241008_023216_DR9E90247_1502_original.jpg,cirinsturct,우측통과,126.54703,36.60264,126.54688936545101,36.60258536219728,719,397,33,37,1221
4,abcnew\20241008_023216_DR9E90247_1505_original.jpg,cirinsturct,우측통과,126.54703,36.60264,126.54690449227598,36.60258850657951,698,392,35,41,1435
5,abcnew\20241008_023216_DR9E90247_1509_original.jpg,cirinsturct,우측통과,126.54703,36.60264,126.54693095934238,36.60258515978899,662,382,40,48,1920
6,abcnew\20241008_023216_DR9E90247_1513_original.jpg,cirinsturct,우측통과,126.54703,36.60264,126.54695289344531,36.60258287674663,615,369,45,55,2475
7,abcnew\20241008_023216_DR9E90247_1517_original.jpg,cirinsturct,우측통과,126.54693,36.60257,126.5468742526682,36.60251321185335,549,358,55,64,3520
8,abcnew\20241008_023216_DR9E90247_1520_original.jpg,cirinsturct,우측통과,126.54693,36.60257,126.5468932560331,36.60251777539959,485,345,63,77,4851
9,abcnew\20241008_023216_DR9E90247_1524_original.jpg,cirinsturct,우측통과,126.54693,36.60257,126.54691162867628,36.60252491511192,363,320,75,97,7275
10,abcnew\20241008_023316_DR9E90247_0160_original.jpg,cirinsturct,직우도로,126.54476,36.60134,126.54460037986223,36.601281970103095,1086,415,26,33,858
11,abcnew\20241008_023316_DR9E90247_0163_original.jpg,cirinsturct,직우도로,126.54476,36.60134,126.54460416719357,36.60128533800264,1096,414,28,34,952
12,abcnew\20241008_023316_DR9E90247_0166_original.jpg,cirinsturct,직우도로,126.54456,36.60123,126.54440783504788,36.60117839032295,1105,411,31,35,1085
13,abcnew\20241008_023316_DR9E90247_0171_original.jpg,cirinsturct,직우도로,126.54456,36.60123,126.54442556745946,36.60118749711044,1126,405,35,40,1400
14,abcnew\20241008_023316_DR9E90247_0175_original.jpg,cirinsturct,직우도로,126.54456,36.60123,126.54444203640084,36.601195451711305,1148,398,40,46,1840
15,abcnew\20241008_023316_DR9E90247_0177_original.jpg,cirinsturct,직우도로,126.54456,36.60123,126.54444401176264,36.60119741634083,1161,394,44,47,2068
16,abcnew\20241008_023316_DR9E90247_0182_original.jpg,cirinsturct,직우도로,126.54456,36.60123,126.5444647995711,36.60120689040975,1204,385,54,58,3132
17,abcnew\20241008_023316_DR9E90247_0186_original.jpg,cirinsturct,직우도로,126.54456,36.60123,126.54448020456068,36.601213911701215,1253,374,67,70,4690
18,abcnew\20241008_023316_DR9E90247_0190_original.jpg,cirinsturct,직우도로,126.54456,36.60123,126.54449283878742,36.60121957932322,1323,353,80,84,6720
19,abcnew\20241008_023316_DR9E90247_0193_original.jpg,cirinsturct,직우도로,126.54456,36.60123,126.54450547397803,36.60122405000579,1398,334,96,104,9984
20,abcnew\20241008_023316_DR9E90247_0201_original.jpg,cirinsturct,유턴,126.54438,36.60112,126.54434583290383,36.60104036116383,284,194,34,55,1870
21,abcnew\20241008_023316_DR9E90247_0204_original.jpg,cirinsturct,유턴,126.54438,36.60112,126.54435369840455,36.60104578111596,222,171,35,60,2100
22,abcnew\20241008_023316_DR9E90247_0208_original.jpg,cirinsturct,유턴,126.54438,36.60112,126.54436219544347,36.60105452540991,128,132,36,69,2484
23,abcnew\20241008_023316_DR9E90247_0270_original.jpg,regulation1,속도60,126.54401,36.60092,126.54382113724415,36.6008889428717,1278,352,24,30,720
24,abcnew\20241008_023316_DR9E90247_0277_original.jpg,triregulation,좁아지는길,126.54401,36.60092,126.54383877058271,36.600873623439014,1152,385,23,32,736
25,abcnew\20241008_023316_DR9E90247_0280_original.jpg,regulation1,속도60,126.54401,36.60092,126.54387603307522,36.60091169110006,1425,314,35,43,1505
26,abcnew\20241008_023316_DR9E90247_0280_original.jpg,triregulation,좁아지는길,126.54401,36.60092,126.5438483735298,36.60087754571536,1166,382,28,34,952
27,abcnew\20241008_023316_DR9E90247_0284_original.jpg,regulation1,속도60,126.54401,36.60092,126.54390109897031,36.6009194021578,1520,289,40,53,2120
28,abcnew\20241008_023316_DR9E90247_0284_original.jpg,triregulation,좁아지는길,126.54401,36.60092,126.54385668834561,36.60088163668941,1185,377,29,36,1044
29,abcnew\20241008_023316_DR9E90247_0287_original.jpg,regulation1,속도60,126.54383,36.60082,126.54373404027811,36.60082442049303,1616,264,42,60,2520
30,abcnew\20241008_023316_DR9E90247_0287_original.jpg,triregulation,좁아지는길,126.54383,36.60082,126.54368800174909,36.60078594695527,1202,371,34,39,1326
31,abcnew\20241008_023316_DR9E90247_0291_original.jpg,regulation1,속도60,126.54383,36.60082,126.54375213724276,36.6008300160788,1786,218,43,73,3139
32,abcnew\20241008_023316_DR9E90247_0291_original.jpg,triregulation,좁아지는길,126.54383,36.60082,126.54370042618709,36.600791448529336,1230,362,40,43,1720
33,abcnew\20241008_023316_DR9E90247_0294_original.jpg,triregulation,좁아지는길,126.54383,36.60082,126.54370830003536,36.60079517346064,1255,356,46,46,2116
34,abcnew\20241008_023316_DR9E90247_0298_original.jpg,triregulation,좁아지는길,126.54383,36.60082,126.54372147935157,36.60080123250793,1294,343,48,52,2496
35,abcnew\20241008_023316_DR9E90247_0302_original.jpg,triregulation,좁아지는길,126.54383,36.60082,126.5437352016443,36.60080725941663,1345,325,58,60,3480
36,abcnew\20241008_023316_DR9E90247_0305_original.jpg,triregulation,좁아지는길,126.54383,36.60082,126.54374465740852,36.600811516252946,1394,308,65,67,4355
37,abcnew\20241008_023316_DR9E90247_0308_original.jpg,triregulation,좁아지는길,126.54383,36.60082,126.54375744646674,36.60081523150884,1455,290,69,79,5451
38,abcnew\20241008_023316_DR9E90247_0313_original.jpg,triregulation,좁아지는길,126.54383,36.60082,126.54377092091306,36.600820793492744,1598,250,80,97,7760
39,abcnew\20241008_023316_DR9E90247_0316_original.jpg,triregulation,좁아지는길,126.54365,36.60071,126.54359918326982,36.60071348235542,1716,216,81,112,9072
40,abcnew\20241008_023316_DR9E90247_0320_original.jpg,triregulation,좁아지는길,126.54365,36.60071,126.54360663530572,36.6007163679148,1904,160,29,129,3741
