cls_name,cluster_id,n_frames,yolo_class_mode,cam_lat,cam_lon,sign_lat,sign_lon,rep_lat,rep_lon,center_x_px,center_y_px,width_px,height_px,area_px2
낙석주의,0,12,triregulation,36.59918,126.54009333333335,36.59919090829879,126.54001037344464,36.59919090829879,126.54001037344464,1324.1666666666667,331.6666666666667,70.16666666666667,82.5,6755.5
비탈길금지,0,2,regulation1,36.5991,126.53936,36.59911926251631,126.53931402811835,36.59911926251631,126.53931402811835,1467.0,262.0,86.5,111.0,9666.5
속도70,0,18,regulation1,36.60088333333333,126.54398777777777,36.60088166427999,126.5439547747896,36.60088166427999,126.5439547747896,1324.6666666666667,357.94444444444446,46.0,53.333333333333336,3067.722222222222
속도70,1,14,regulation1,36.599114285714286,126.53960571428573,36.599123725872516,126.53947061122018,36.599123725872516,126.53947061122018,1187.857142857143,316.35714285714283,50.214285714285715,53.857142857142854,3550.5
양보,0,11,triregulation,36.600168181818184,126.54272272727275,36.600194472932216,126.54264876691195,36.600194472932216,126.54264876691195,1257.7272727272727,414.09090909090907,52.27272727272727,60.45454545454545,3498.4545454545455
우측통과,0,13,cirinsturct,36.60054384615385,126.54337230769235,36.60049740582272,126.54329712672067,36.60049740582272,126.54329712672067,497.15384615384613,449.0,45.76923076923077,64.38461538461539,3218.923076923077
우회전금지,0,12,regulation2,36.599,126.52630999999998,36.598975519089635,126.52644703512438,36.598975519089635,126.52644703512438,1179.75,402.9166666666667,43.416666666666664,48.833333333333336,2606.3333333333335
유턴,0,4,cirinsturct,36.6011025,126.54436249999999,36.60103341710119,126.54435456312193,36.60103341710119,126.54435456312193,155.25,169.75,34.0,67.75,2301.0
좁아지는길,0,16,triregulation,36.60076062500001,126.543763125,36.6007877168589,126.5437391378338,36.6007877168589,126.5437391378338,1388.0,338.25,59.25,68.9375,4631.75
직우도로,0,14,cirinsturct,36.60119857142858,126.54454714285714,36.60116791946547,126.54442645034229,36.60116791946547,126.54442645034229,1176.857142857143,424.42857142857144,47.92857142857143,52.0,2902.6428571428573
횡단보도,0,2,triinstruct,36.60117,126.54449,36.60118248601985,126.54440608151577,36.60118248601985,126.54440608151577,1764.5,318.5,45.5,68.5,3146.5
